movie_id,movie_name,year,genre,description,director,star
tt0053448,Witness in the Dark,1959,Thriller,"An elderly woman is murdered by a thief, with the only witness a blind girl whom the killer returns to silence permanently.",Wolf Rilla,"Patricia Dainton, 
Conrad Phillips, 
Madge Ryan, 
Nigel Green"
tt0049633,Potraga,1956,War,"Jelena and doctor Mirkovic realize that their relationship is not just fulfilling the party's task of better maintenance of the illegal press. When Mirkovic joined partisans, one of the ...                See full summary »",Zorz Skrigin,"Ljubisa Jovanovic, 
Vasa Pantelic, 
Jovan Konjovic, 
Miroslav Petrovic"
tt0007418,Suzanne,1916,Romance,"Suzanne Daubray, whose brother went off to war, is courted by the Prince of Sylvania who is engaged to Princess Sonia.","René Hervil, 
Louis Mercanton","Suzanne Grandais, 
Jean Signoret, 
Georges Tréville, 
Marie-Louise Derval"
tt2256706,Jane Bond 008: Operation Karachi,1971,Action,Add a Plot,Reza Fazeli,"Reza Fazeli, 
Abdul Karim Baloch, 
Kamaal Irani, 
Rakhshanda Khattak"
tt8179344,Brotherhood,1997,Action,Add a Plot,Daniel Chung,"Pete Antico, 
Ken Bryant, 
Alee Cao, 
Vanessa Cao"
tt0019594,Women They Talk About,1928,Romance,"A story of two closely-knit relationships, one of which involves John Harrison (Anders Randolph), the mayor of a city and his renewed friendship with a widow and former sweetheart Irene ...                See full summary »",Lloyd Bacon,"Irene Rich, 
Audrey Ferris, 
William Collier Jr., 
Anders Randolf"
tt6376380,Double Feluda,2016,Crime,The iconic Bengali detective launches two separate investigations.,Sandip Ray,"Bhaskar Banerjee, 
Paran Banerjee, 
Bratya Basu, 
Saheb Bhattacharjee"
tt5149852,The Popular Kids,2015,Romance,A teenage boy lives and learns about life and death; while unknowingly under surveillance,Mikiel Crosby,"Neshamah Crosby, 
Mikiel Crosby"
tt6857112,Us,2019,Mystery,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,Jordan Peele,"Lupita Nyong'o, 
Winston Duke, 
Elisabeth Moss, 
Tim Heidecker"
tt13321244,Caste,,History,The unspoken system that has shaped America and chronicles how lives today are defined by a hierarchy of human divisions.,Ava DuVernay,"Nick Offerman, 
Jon Bernthal, 
Connie Nielsen, 
Vera Farmiga"
tt4767246,Gost,2015,Adventure,"What if you deprive 'civilized man' all the gadgets, and send him to the place where he will face the irrational and incomprehensible things?",Denis Rodimin,"Andrey Belozyorov, 
Maksim Bityukov, 
Andryus Daryala, 
Arnas Fedaravicius"
tt0120783,The Parent Trap,1998,Romance,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.",Nancy Meyers,"Lindsay Lohan, 
Dennis Quaid, 
Natasha Richardson, 
Elaine Hendrix"
tt0031448,The Hound of the Baskervilles,1939,Mystery,"Sherlock Holmes and Dr Watson investigate the legend of a supernatural hound, a beast that may be stalking a young heir on the fog-shrouded moorland that makes up his estate.",Sidney Lanfield,"Basil Rathbone, 
Nigel Bruce, 
Richard Greene, 
Wendy Barrie"
tt21937712,Adhee Lekka,2014,Romance,Add a Plot,Chinni Charan,"Akshaya, 
Krishnudu, 
Mahee, 
Manoj Nandam"
tt14405280,Till We Meet Again,II,Romance,"Follows a young man who, after being struck dead by lightning, takes on the odd job as a matchmaking god to tie men and women together with red strings, while trying to retrieve the lost memory of his previous life.",Giddens Ko,"Gingle Wang, 
Vivian Sung, 
Kai Ko"
tt0041699,Nora inu,1949,Film-Noir,"During a sweltering summer, a rookie homicide detective tries to track down his stolen Colt pistol.",Akira Kurosawa,"Toshirô Mifune, 
Takashi Shimura, 
Keiko Awaji, 
Eiko Miyoshi"
tt1931551,The 25th Reich,2012,Sci-Fi,"In 1943, five US soldiers are recruited by the OSS for a time travel mission to save the world from the tyranny of Hitler's 25th Reich.",Stephen Amis,"Jim Knobeloch, 
Serge De Nardo, 
Angelo Salamanca, 
Jak Wyld"
tt0213141,La paloma,1937,Biography,A romanticized tale of the end of French rule in Mexico as Emperors Maximilian and Carlota struggle against followers of Benito Juarez independence movement.,Miguel Contreras Torres,"Medea de Novara, 
Alfredo del Diestro, 
Arturo de Córdova, 
Josefina Escobedo"
tt3177316,Honeymoon,2014,Thriller,A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,Leigh Janiak,"Rose Leslie, 
Harry Treadaway, 
Ben Huber, 
Hanna Brown"
tt3812872,The Lucky 6,2014,Mystery,"When employees of a Florida tech company win the mega lottery, they figure their futures are all but assured. But five years later, suspicions of lottery tampering arise and the group is ...                See full summary »",Bradley Battersby,"Andrea Adnoff, 
Jacob Cooper, 
Jesse Dorman, 
Joseph McGranaghan"
tt3345438,The Highest Place,,War,The inspiring untold story of the largest rescue operation of WWII; an entire nation's Jewish population saved during the Holocaust.,,
tt0228430,El infierno prometido,1992,Fantasy,"In a southern Mediterranean land, a modern Orpheus embarks on an initiatory journey through Los Infiernos (The Hell) between a devastating drought and a flood in search of water and the love of an enigmatic woman.",Chumilla-Carbajosa,"Ginés García Millán, 
Cristina Marcos, 
Rafael Álvarez 'El Brujo', 
Franco Citti"
tt0083053,Gauche the Cellist,1982,Animation,A cellist in a small orchestra receives help from animals to help him practice his music.,Isao Takahata,"Hideki Sasaki, 
Masashi Amenomori, 
Keiko Yokozawa, 
Kôichi Hashimoto"
tt7731862,Hager Alatni,2017,Family,"Eritrean Movie - A young Boy and a Girl go on a nationwide adventure to experience the wonderful landscapes, animals and people of Eritrea.",Yonas Mihretab,"Yonas Mihretab, 
Niftalem Yohannes, 
Solihem Yohannes"
tt22742568,Magic Man,2022,Action,Add a Plot,Tianhu Zhang,"Xing Yu, 
Xingtong Yao"
tt2095647,Ghastly,2011,Crime,"After his parents are murdered, Bin is taken into the care of relatives. He begins to act strangely, the new occupants of his house experience horrific nightmares, and a mystery unfolds as a terrible secret is revealed.",Ko Seok-jin,"Eun-jeong Han, 
Hyomin, 
Hyung-Suk Lee, 
Min-woo No"
tt0073464,Noon Sunday,1970,Action,Two mercenaries are hired to commit a political assassination.,Terry Bourke,"Mark Lenard, 
John Russell, 
Linda Avery, 
Keye Luke"
tt11257636,Two Hearts Run,,Romance,Rock superstar Ben Myers discovers life through the eyes of a dying 12-year old boy.,Martin Guigui,
tt0046793,Navy Heroes,1955,Adventure,"The title is derived from the flag of England's Outward Bound Sea School at Aberdovey, Wales: Mike Merriworth, a Merchant Navy hero of the Korean War returns to England after three years of...                See full summary »",Wolf Rilla,"Kieron Moore, 
Sarah Lawson, 
Greta Gynt, 
Mervyn Johns"
tt8130518,Dark Cloud,2022,Thriller,"Following the aftermath of a horrific accident, a woman is voluntarily subjected to artificial intelligence for rehabilitation.",Jay Ness,"Emily Atack, 
Hugo Armstrong, 
Alexys Gabrielle, 
Amanda Day"
